,churn,suceessful,revenue,covid_cases_zip,reviews_per_month,review_scores_rating,number_of_reviews_ltm,number_of_reviews,calculated_host_listings_count,calculated_host_listings_count_entire_homes,host_response_time,host_response_rate,host_acceptance_rate,cleaning_fee,maximum_minimum_nights,minimum_nights_avg_ntm,availability_365,review_scores_checkin
0,0,3,13200,22.0,1.09,97.0,18,123,1,1,4.0,100.0,77.72184106938668,100.0,2.8333333333333335,2.066666666666667,312,10.0
1,0,6,17500,76.0,3.81,98.0,25,467,1,1,3.5,99.46432499999999,99.05517440272001,60.0,1.0,1.0,22,10.0
2,0,3,10508,34.0,2.12,99.0,20,256,1,1,3.5,100.0,81.55517440272001,0.0,3.0,3.0,39,10.0
3,1,0,650,30.0,1.77,96.0,21,205,3,2,4.0,100.0,94.16552320816004,50.0,30.0,30.0,88,10.0
4,0,0,2706,35.0,1.84,98.0,12,211,2,2,2.0,77.83333333333333,71.55517440272001,90.95796,2.0,2.0,365,10.0
5,0,0,3900,34.0,1.99,99.0,14,226,1,1,3.5,100.0,89.88850773605334,90.95796,3.0,3.0,358,10.0
6,0,0,6090,34.0,4.41,98.0,40,496,3,3,4.0,100.0,96.88850773605334,40.0,3.0,3.0,326,10.0
7,0,0,2574,34.0,2.14,95.0,15,191,2,0,3.0,99.46432499999999,94.38850773605334,25.0,3.0,3.0,269,10.0
8,0,3,13563,35.0,4.56,97.0,58,505,1,1,4.0,100.0,97.38850773605334,20.0,3.0,2.5166666666666666,35,10.0
9,0,1,3920,23.0,0.36,95.0,4,36,2,1,4.0,100.0,87.38850773605334,90.95796,3.0,3.0,365,10.0
10,0,4,12600,34.0,3.2,99.0,50,360,1,1,4.0,100.0,99.05517440272001,60.0,3.0,3.0,314,10.0
11,0,2,10800,5.0,6.14,95.0,55,689,3,0,4.0,100.0,99.05517440272001,5.0,1.0,1.0,177,10.0
12,0,0,0,35.0,0.05,73.0,0,5,8,0,3.8333333333333335,95.0,24.555174402720013,0.0,2.0,2.0,365,8.0
13,0,1,9230,5.0,3.58,99.0,41,394,1,1,4.0,100.0,98.22184106938668,40.0,3.0,3.0,124,10.0
14,0,1,7062,35.0,1.33,99.0,4,141,1,1,2.0,97.85730000000001,75.22184106938668,0.0,30.0,30.0,365,10.0
15,0,4,15840,34.0,0.96,98.0,5,106,2,2,4.0,99.66666666666667,93.72184106938668,120.0,30.0,29.95,180,10.0
16,0,0,3105,30.0,0.99,98.0,17,108,2,1,4.0,98.4,94.86620928326401,45.0,30.0,26.560000000000002,86,10.0
17,0,5,15840,34.0,3.16,97.0,36,338,3,3,4.0,100.0,99.05517440272001,66.0,4.0,2.9333333333333336,206,10.0
18,0,2,10500,5.0,6.45,96.0,60,684,3,0,4.0,100.0,99.05517440272001,5.0,1.0,1.0,181,10.0
19,1,0,300,59.0,0.79,100.0,2,2,1,0,3.25,99.1964875,100.0,75.0,2.0,2.0,364,10.0
20,0,2,13600,5.0,1.82,93.0,24,192,3,3,2.6666666666666665,99.46432499999999,94.88850773605334,80.0,3.0,3.0,180,10.0
21,0,3,10920,5.0,2.61,97.0,25,276,3,3,2.6666666666666665,99.46432499999999,94.88850773605334,120.0,3.0,3.0,177,10.0
22,0,1,9000,76.0,0.72,98.0,2,76,1,0,1.5,71.63099166666667,42.22184106938668,90.95796,2.0,2.0,0,10.0
23,0,2,9307,35.0,1.88,98.0,20,198,1,1,4.0,100.0,98.05517440272001,100.0,2.0,2.0,362,10.0
24,0,4,16380,5.0,1.18,97.0,17,71,2,2,3.8333333333333335,100.0,90.38850773605334,200.0,2.0,2.0,86,10.0
25,0,0,6272,34.0,4.52,98.0,39,475,3,3,4.0,100.0,96.88850773605334,45.0,3.0,3.0,346,10.0
26,0,0,3200,35.0,1.37,97.0,5,142,2,0,3.5,99.46432499999999,77.72184106938668,30.0,2.0,2.0,362,10.0
27,0,2,12384,34.0,2.52,96.0,15,258,1,1,4.0,96.33333333333333,99.05517440272001,25.0,3.0,3.0,332,10.0
28,0,0,4150,35.0,1.03,95.0,25,105,3,3,4.0,100.0,96.88850773605334,85.0,2.0,2.0,256,10.0
29,0,3,11700,34.0,1.78,97.0,17,182,1,1,2.8333333333333335,95.29765833333333,87.72184106938668,75.0,7.5,7.5,355,10.0
30,0,4,15580,46.0,1.63,98.0,14,167,1,0,2.8333333333333335,98.92865,86.05517440272001,25.0,2.8333333333333335,2.8333333333333335,37,10.0
31,0,4,21160,46.0,1.84,99.0,20,171,1,1,3.8333333333333335,100.0,99.05517440272001,99.0,2.0,2.0,242,10.0
32,0,1,6370,35.0,0.38,99.0,3,38,1,1,3.8333333333333335,100.0,81.55517440272001,80.0,30.0,30.0,271,10.0
33,0,4,18095,46.0,0.33,100.0,7,25,1,1,3.3333333333333335,99.46432499999999,99.05517440272001,150.0,4.0,4.0,83,10.0
34,0,3,8625,34.0,0.6,95.0,1,61,2,2,4.0,99.66666666666667,93.72184106938668,115.0,30.0,30.0,365,10.0
35,0,2,11200,5.0,0.79,95.66666666666667,13,80,1,1,1.8333333333333333,98.92865,93.72184106938668,100.0,21.0,21.0,361,10.0
36,0,0,1330,24.0,0.1,100.0,0,10,1,1,1.0,96.78595020594902,94.33104940272001,120.0,30.0,30.0,365,10.0
37,0,6,27000,5.0,1.66,97.0,0,167,1,1,1.0,96.78595020594902,96.22069940272002,100.0,20.666666666666668,20.666666666666668,0,10.0
38,0,3,9450,14.692020000000001,2.2,99.0,12,104,1,0,2.0,97.85730000000001,98.11034880544003,45.0,2.0,2.0,0,10.0
39,0,4,12840,34.0,4.18,97.0,44,419,2,2,4.0,100.0,98.72184106938668,40.0,4.0,3.75,127,10.0
40,0,0,7370,46.0,1.24,96.0,0,124,1,1,3.1666666666666665,99.46432520594901,99.05517440272001,80.0,30.0,30.0,280,10.0
41,0,1,8320,5.0,3.36,96.16666666666667,30,337,1,1,4.0,100.0,96.88850773605334,50.0,3.0,3.0,350,10.0
42,0,0,4095,35.0,0.44,97.0,2,42,2,0,3.5,99.46432499999999,77.72184106938668,30.0,2.0,2.0,364,10.0
43,0,3,20200,46.0,0.73,97.0,10,72,1,1,4.0,100.0,95.72184106938668,75.0,3.0,3.0,0,10.0
44,0,4,17200,5.0,1.48,95.0,28,95,20,20,3.6666666666666665,96.0,99.05517440272001,225.0,3.5,1.5999999999999999,170,10.0
45,0,2,10720,35.0,1.72,96.0,4,169,1,1,1.8333333333333333,97.85730000000001,84.05517440272001,85.0,30.0,30.0,269,10.0
46,0,0,4758,59.0,0.84,98.0,16,82,2,2,4.0,100.0,99.05517440272001,50.0,3.0,3.0,0,10.0
47,1,0,90,14.692020000000001,0.79,98.0,10,76,2,2,2.0,100.0,100.0,100.0,31.0,31.0,242,10.0
48,0,0,500,35.0,0.46,94.0,2,35,1,1,1.6666666666666667,98.92865,65.22184106938668,100.0,30.0,30.0,365,10.0
49,0,2,9750,35.0,1.62,95.0,8,146,1,1,3.0,89.29765833333333,79.38850773605334,185.0,2.6666666666666665,2.0,362,9.0
50,0,3,15652,46.0,0.36,92.83333333333333,8,35,2,2,3.3333333333333335,93.29765833333333,93.05517440272001,200.0,3.0,1.9000000000000001,207,9.0
51,0,3,10580,34.0,4.39,97.0,54,409,1,1,4.0,100.0,99.05517440272001,25.0,2.8333333333333335,2.0,115,10.0
52,0,0,5700,35.0,4.37,91.0,36,325,1,0,4.0,100.0,99.05517440272001,90.95796,1.0,1.0,171,10.0
53,0,0,3755,5.0,2.4,95.0,0,226,1,1,2.5,98.39297520594901,94.33104940272001,0.0,30.0,30.0,364,10.0
54,0,3,8019,76.0,0.95,96.0,0,89,1,1,2.5,99.46432520594901,40.72184106938668,25.0,30.0,30.0,344,10.0
55,0,4,28350,5.0,0.36,96.33333333333333,17,35,2,2,3.3333333333333335,86.16666666666667,98.22184106938668,125.0,1.0,1.0,284,9.0
56,0,1,6570,5.0,3.35,91.0,55,324,6,6,3.0,88.6,94.46620928326402,50.0,7.8,7.8,0,10.0
57,0,1,9434,5.0,5.67,97.0,49,547,4,0,4.0,100.0,98.86620928326401,35.0,3.6,2.0599999999999996,0,10.0
58,0,4,34450,5.0,0.56,99.0,5,52,1,1,3.5,100.0,89.72184106938668,200.0,3.3333333333333335,3.0,337,10.0
59,0,2,11475,23.0,1.3,93.16666666666667,10,122,5,2,4.0,99.5,96.22184106938668,75.0,2.6666666666666665,2.033333333333333,0,9.0
60,0,1,6900,5.0,5.72,96.0,44,554,2,0,4.0,100.0,99.05517440272001,35.0,3.0,2.05,45,10.0
61,0,5,34190,35.0,0.29,93.0,1,26,8,1,4.0,100.0,93.38850773605334,90.95796,2.0,2.0,306,9.0
62,0,2,10680,34.0,3.69,99.0,34,356,1,1,2.1666666666666665,95.0,88.72184106938668,90.95796,2.0,2.0,283,10.0
63,0,0,5727,5.0,5.58,96.0,63,530,4,0,4.0,100.0,98.86620928326401,25.0,3.2,2.0599999999999996,67,10.0
64,0,3,18725,30.0,1.12,96.0,5,105,4,4,3.3333333333333335,90.5,76.22184106938668,100.0,30.0,30.0,252,10.0
65,0,5,55860,35.0,0.87,98.0,8,78,1,1,2.1666666666666665,63.964325,92.72184106938668,150.0,21.0,21.0,81,10.0
66,0,1,3375,34.0,0.45,99.0,3,42,1,1,1.5,68.79765833333333,38.22184106938668,60.0,21.0,21.0,89,10.0
